pH,HA,A
0,0.999982622293702,1.73777062975697E-05
0.1,0.99997812286238,2.18771376198743E-05
0.2,0.999972458471523,2.7541528476699E-05
0.3,0.999965327517178,3.46724828225041E-05
0.4,0.999956350322153,4.36496778464714E-05
0.5,0.9999450489324,5.49510675999916E-05
0.6,0.999930821688878,6.91783111220787E-05
0.7,0.999912911226119,8.70887738804937E-05
0.8,0.999890364201712,0.000109635798288
0.9,0.999861980625517,0.000138019374483
1,0.999826250111395,0.000173749888605
1.1,0.999781271690145,0.000218728309855
1.2,0.999724652966536,0.000275347033464
1.3,0.999653383334318,0.000346616665682
1.4,0.999563674630691,0.000436325369308
1.5,0.999450760955447,0.000549239044553
1.6,0.999308647328271,0.000691352671729
1.7,0.9991297943275,0.0008702056725
1.8,0.998904722751479,0.001095277248521
1.9,0.998621518569473,0.001378481430527
2,0.998265213884001,0.001734786115999
2.1,0.997817014228547,0.002182985771453
2.2,0.997253336236837,0.002746663763163
2.3,0.996544612596927,0.003455387403073
2.4,0.995653813469901,0.004346186530099
2.5,0.994534625726963,0.005465374273037
2.6,0.993129224444049,0.006870775555951
2.7,0.991365566869207,0.008634433130793
2.8,0.989154140522919,0.010845859477081
2.9,0.986384108971218,0.013615891028782
3,0.982918828453207,0.017081171546794
3.1,0.97859076674954,0.02140923325046
3.2,0.97319595759616,0.02680404240384
3.3,0.966488289451629,0.033511710548371
3.4,0.95817418003701,0.04182581996299
3.5,0.947908550672625,0.052091449327375
3.6,0.935293499046078,0.064706500953922
3.7,0.91988165697098,0.08011834302902
3.8,0.901186829121667,0.098813170878333
3.9,0.878704951211851,0.121295048788149
4,0.851948345852573,0.148051654147427
4.1,0.820495207286422,0.179504792713577
4.2,0.784053683887815,0.215946316112185
4.3,0.742535558943069,0.257464441056931
4.4,0.6961287704296,0.3038712295704
4.5,0.645352450439382,0.354647549560618
4.6,0.591075596314943,0.408924403685057
4.7,0.534483944726832,0.465516055273168
4.8,0.476990412702438,0.523009587297562
4.9,0.420100239642119,0.579899760357881
5,0.365256664947684,0.634743335052316
5.1,0.313699742316688,0.686300257683311
5.2,0.266366297586194,0.733633702413806
5.3,0.22384542465817,0.77615457534183
5.4,0.186387789494414,0.813612210505586
5.5,0.153954899567906,0.846045100432094
5.6,0.12628957905492,0.87371042094508
5.7,0.102990473622728,0.897009526377272
5.8,0.083578622930487,0.916421377069513
5.9,0.067550028996577,0.932449971003423
6,0.054412860433876,0.945587139566124
6.09999999999999,0.043710847735685,0.956289152264315
6.19999999999999,0.035035734831987,0.964964265168013
6.29999999999999,0.028031867151697,0.971968132848303
6.39999999999999,0.022395622457171,0.977604377542829
6.49999999999999,0.017871795372262,0.982128204627738
6.59999999999999,0.014248445016479,0.985751554983522
6.69999999999999,0.011351206921615,0.988648793078385
6.79999999999999,0.00903768373824,0.99096231626176
6.89999999999999,0.007192256309702,0.992807743690298
6.99999999999999,0.005721475717091,0.994278524282909
7.09999999999999,0.004550083999569,0.995449916000431
7.19999999999999,0.003617645670173,0.996382354329827
7.29999999999999,0.002875737784761,0.997124262215239
7.39999999999999,0.00228563157333,0.99771436842667
7.49999999999999,0.001816395562046,0.998183604437954
7.59999999999999,0.001443353490208,0.998556646509792
7.69999999999999,0.001146836876584,0.998853163123416
7.79999999999999,0.000911179833471,0.999088820166529
7.89999999999999,0.000723911532529,0.999276088467471
7.99999999999999,0.000575108996652,0.999424891003348
8.09999999999999,0.000456879355457,0.999543120644542
8.19999999999999,0.000362946276942,0.999637053723058
8.29999999999999,0.000288319997917,0.999711680002083
8.39999999999999,0.000229034296551,0.999770965703449
8.49999999999999,0.000181936978773,0.999818063021227
8.59999999999999,0.000144523087133,0.999855476912867
8.69999999999999,0.000114802181096,0.999885197818904
8.79999999999999,9.11927670563915E-05,0.999908807232944
8.89999999999998,7.24383483130609E-05,0.999927561651687
8.99999999999998,5.75406826130381E-05,0.999942459317387
9.09999999999998,4.57067297608532E-05,0.999954293270239
9.19999999999998,3.63064872681342E-05,0.999963693512732
9.29999999999998,2.88394832914837E-05,0.999971160516708
9.39999999999998,2.29081517322407E-05,0.999977091848268
9.49999999999998,1.81966774610046E-05,0.999981803322539
9.59999999999998,1.44541887808667E-05,0.999985545811219
9.69999999999998,1.1481404390809E-05,0.999988518595609
9.79999999999998,9.12002521794095E-06,0.999990879974782
9.89999999999998,7.24430712038438E-06,0.99999275569288
9.99999999999998,5.75436626045022E-06,0.99999424563374
10.1,4.57086100328315E-06,0.999995429138997
10.2,3.63076736518166E-06,0.999996369232635
10.3,2.88402318551302E-06,0.999997115976814
10.4,2.2908624047053E-06,0.999997709137595
10.5,1.81969754730488E-06,0.999998180302453
10.6,1.44543768145289E-06,0.999998554562318
10.7,1.14815230324172E-06,0.999998851847697
10.8,9.12010007592944E-07,0.999999087989992
10.9,7.24435435267948E-07,0.999999275564565
11,5.75439606206256E-07,0.999999424560394
11.1,4.57087980685382E-07,0.999999542912019
11.2,3.63077922944495E-07,0.999999636922077
11.3,2.88403067136323E-07,0.999999711596933
11.4,2.29086712796056E-07,0.999999770913287
11.5,1.81970052747903E-07,0.999999818029947
11.6,1.44543956181643E-07,0.999999855456044
11.7,1.14815348967129E-07,0.999999885184651
11.8,9.12010756179594E-08,0.999999908798924
11.9,7.24435907594291E-08,0.999999927556409
12,5.75439904224082E-08,0.99999994245601
12.1,4.57088168721943E-08,0.999999954291183
12.2,3.63078041587557E-08,0.999999963692196
12.3,2.88403141995041E-08,0.999999971159686
12.4,2.29086760028717E-08,0.999999977091324
