pH,H3A,H2A,HA,A
0,0.993146943454469,0.006852713909836,3.42635695491792E-07,3.76899265040971E-17
0.1,0.991387684195801,0.00861177372516,5.42079039161241E-07,7.50680785361157E-17
0.2,0.989181686261762,0.010817456512578,8.57225659326447E-07,1.49447222305642E-16
0.3,0.986418318431122,0.013580326753168,1.354815709778E-06,2.97353400239264E-16
0.4,0.982961161340633,0.01703669894672,2.13971264609895E-06,5.91218667937196E-16
0.5,0.97864291338815,0.021353710293797,3.37631805118912E-06,1.17445406615884E-15
0.6,0.973259820119731,0.026734858210888,5.32166937874273E-06,2.3304542128917E-15
0.7,0.966565919286633,0.033425704445191,8.37626817146408E-06,4.61788654027388E-15
0.8,0.958267643937406,0.041719194546483,1.31615161024506E-05,9.13479077426908E-15
0.9,0.948019686026274,0.051959677454273,2.06365194345479E-05,1.80313870586275E-14
1,0.935423505976621,0.064544221912387,3.22721109561934E-05,3.54993220518128E-14
1.1,0.920030462529988,0.079919231294358,5.03061755837616E-05,6.96648950938344E-14
1.2,0.901352153224243,0.098569735524214,7.81112514075092E-05,1.36177789671418E-13
1.3,0.878881014754399,0.120998273597593,0.000120711647743,2.64936541890877E-13
1.4,0.852124202949912,0.147690306411205,0.00018549063837,5.12524559462741E-13
1.5,0.820652771823368,0.179064102969368,0.000283125206279,9.84852566331527E-13
1.6,0.784165665273128,0.215405562230489,0.000428772494505,1.87767145058549E-12
1.7,0.742563711536022,0.25679278213995,0.000643506320481,3.54768867841815E-12
1.8,0.696023045282844,0.30302098812059,0.000955966589932,6.63491555094573E-12
1.9,0.645051721080974,0.353544128489356,0.0014041504174,1.22689195457515E-11
2,0.590510496310839,0.407452242454479,0.002037261212272,2.24098733349964E-11
2.1,0.533581935352914,0.463500501806167,0.002917562800516,4.04029334508198E-11
2.2,0.475682557953413,0.52019517303227,0.00412226894245,7.18669158282098E-11
2.3,0.418328529911873,0.57592585419655,0.005745615765473,1.26104116744537E-10
2.4,0.362980403042985,0.629118229022213,0.007901367716481,2.18320721931366E-10
2.5,0.310899684029515,0.678374276498361,0.010726039099018,3.731058520741E-10
2.6,0.263045872197448,0.722571090553492,0.0143830366192,6.29858901368091E-10
2.7,0.220029167129667,0.760903086178113,0.019067745641003,1.05121617582552E-09
2.8,0.182117760226282,0.792868914787887,0.025013323249773,1.73605740157316E-09
2.9,0.149286148218446,0.818217197823706,0.032496651118418,2.8394308269078E-09
3,0.121285627094871,0.836870826954609,0.041843541347731,4.60278954825038E-09
3.1,0.097719485495795,0.848848650274949,0.053431856829916,7.39933945987819E-09
3.2,0.078110573965977,0.854198726871562,0.067690687361385,1.1801076055128E-08
3.3,0.061954874497128,0.852951961557956,0.085093145268769,1.86761460618643E-08
3.4,0.048759509757579,0.845100621673134,0.106139839242053,2.93272344238195E-08
3.5,0.038066645251525,0.830603382947526,0.131329926117763,4.56831860621143E-08
3.6,0.02946612218167,0.809416542496049,0.161117264766149,7.05561322437076E-08
3.7,0.022599926207683,0.781548820238433,0.19585114557998,1.07973903241559E-07
3.8,0.017161264701994,0.74713379429613,0.23570477741025,1.63591626479674E-07
3.9,0.012890469131973,0.70650918773541,0.280600097955178,2.45177438519418E-07
4,0.009569374515237,0.660286841551333,0.330143420775668,3.63157762853236E-07
4.1,0.007015341078296,0.609393589755073,0.383590537963567,5.31203063562744E-07
4.2,0.005075681887476,0.555064543268572,0.43985900800145,7.66842502166617E-07
4.3,0.003622920952566,0.498778757626829,0.497597229299905,1.09212069962053E-06
4.4,0.002551013581034,0.442142091654927,0.555305360413639,1.53435040018431E-06
4.5,0.001772426283582,0.386738378819699,0.611487067835636,2.12706108350835E-06
4.6,0.001215828392906,0.333980700951049,0.664800559375479,2.91128056642889E-06
4.7,0.000824113707038,0.284994335627155,0.714177613362081,3.93730372595415E-06
4.8,0.000552535079962,0.240551986081635,0.758890211737523,5.26710088024909E-06
4.9,0.000366850192706,0.201065631526284,0.798560540769979,6.97751103137311E-06
5,0.000241485350309,0.166624891713442,0.833124458567205,9.16436904423921E-06
5.1,0.000157788044677,0.13706393159369,0.862766332618566,1.19477430663136E-05
5.2,0.000102451295038,0.112038308445045,0.887843761747043,1.54785128735814E-05
5.3,6.61693824554324E-05,0.09109743990048,0.908816444117841,1.99465992238957E-05
5.4,4.2548064919597E-05,0.073744375801381,0.92618748487816,2.55912555392936E-05
5.5,2.72597132354185E-05,0.059479919709002,0.940460106621922,3.27139558399506E-05
5.6,1.7412760169254E-05,0.047831798309307,0.952109094370185,4.1694560337976E-05
5.7,1.1095817201206E-05,0.038371465302553,0.961564427260568,5.30116196778423E-05
5.8,7.05660964049662E-06,0.030721695790627,0.96920397969911,6.72679006219637E-05
5.9,4.48066476993456E-06,0.024557917905944,0.975352378936612,8.52224926734323E-05
6,2.84140189655059E-06,0.019605673086199,0.98028365430993,0.000107831201974
6.09999999999999,1.80001327959519E-06,0.01563596896882,0.984225933643631,0.000136297374269
6.19999999999999,1.13935617663388E-06,0.012459729152135,0.987366995656402,0.000172135835286
6.29999999999999,7.20700205594405E-07,0.009922103128228,0.989859922849438,0.000217253322128
6.39999999999999,4.55635392020219E-07,0.007897080076625,0.991828414650897,0.000274049637086
6.49999999999999,2.87933777976399E-07,0.006282633220548,0.993371534018544,0.00034554482713
6.59999999999999,1.81892711798558E-07,0.004996482705851,0.994567796372965,0.000435539028471
6.69999999999999,1.14871641976606E-07,0.003972481832049,0.995478590019575,0.000548813276734
6.79999999999999,7.25280603003294E-08,0.00315758575059,0.996150960080428,0.000691381640921
6.89999999999999,4.5783650638069E-08,0.002509340000949,0.996619806638532,0.000870807576868
6.99999999999999,2.88959290288255E-08,0.001993819102989,0.996909551494438,0.001096600506644
7.09999999999999,1.82343988285791E-08,0.001583946615732,0.997035322735197,0.001380712414672
7.19999999999999,1.15047629123812E-08,0.001258133609029,0.997003696078358,0.00173815880785
7.29999999999999,7.25762636882463E-09,0.000999179918899,0.996813019026348,0.002187793797127
7.39999999999999,4.5776002862044E-09,0.000793390431298,0.996453329632931,0.002753275358171
7.49999999999999,2.88668367239468E-09,0.000629866174954,0.995905866976116,0.003464263962246
7.59999999999999,1.81997754214387E-09,0.000499936815744,0.995142155856646,0.004357905507632
7.69999999999999,1.14715173678104E-09,0.000396707085801,0.994122634463465,0.005480657303583
7.79999999999999,7.22837026564682E-10,0.000314694738234,0.992794781788488,0.006890522750441
7.89999999999999,4.55296490640073E-10,0.000249541851804,0.991090693164616,0.008659764528284
7.99999999999999,2.86644652275217E-10,0.00019778481007,0.988924050349442,0.010878164553844
8.09999999999999,1.80359877816246E-10,0.000156671147081,0.98618644177704,0.01365688689552
8.19999999999999,1.13402041034601E-10,0.000124013784764,0.982743016221996,0.017132969879838
8.29999999999999,7.12376459828666E-11,9.80750754013254E-05,0.978427509929949,0.021474414923412
8.39999999999999,4.47002719407081E-11,7.74745845351282E-05,0.973036788403121,0.026885736967643
8.49999999999999,2.8009426358189E-11,6.11157724401743E-05,0.966325209357457,0.033613674842094
8.59999999999999,1.75204851080499E-11,4.81277121963223E-05,0.957999366384513,0.041952505885771
8.69999999999999,1.09359940089775E-11,3.78187660318333E-05,0.947714136334547,0.052248044888485
8.79999999999999,6.8080964068184E-12,2.96397671656968E-05,0.935071439093931,0.064898921132096
8.89999999999998,4.22465319626856E-12,2.31547530784278E-05,0.919623706913176,0.080353138329521
8.99999999999998,2.61125990939833E-12,1.80176933748478E-05,0.900884668742358,0.099097313561656
9.09999999999998,1.60638172320612E-12,1.39539719294621E-05,0.878350492873084,0.12163555315338
9.19999999999998,9.82614188703388E-13,1.07456359155923E-05,0.851534260564362,0.14845499379874
9.29999999999998,5.9703949460046E-13,8.21962778845778E-06,0.820015678469008,0.179976101902606
