pH,H3A,H2A,HA,A
0,,0.02450336690698,2.62558306841491E-08,1.37792558180964E-17
0.1,0.969346529885477,0.030653428764186,4.1350337627054E-08,2.73198971430966E-17
0.2,0.961713433587318,0.038286501392874,6.50198079654154E-08,5.40811206696854E-17
0.3,0.952273181797821,0.047726716164269,1.02037909815641E-07,1.06846808351401E-16
0.4,0.940648906633151,0.059350933621745,1.59745103488483E-07,2.10585059125084E-16
0.5,0.926412212884196,0.073587537768732,2.49347071376077E-07,4.13813135063636E-16
0.6,0.909090556545988,0.090909055654599,3.8779941215846E-07,8.10227811370142E-16
0.7,0.888183696879796,0.111815702634326,6.00485876481143E-07,1.5794387804936E-15
0.8,0.863192313005976,0.136806762066793,9.24927227518606E-07,3.0627219013802E-15
0.9,0.833661288917462,0.16633729532254,1.41575999220716E-06,5.90186995093365E-15
1,0.799238271779703,0.20075957704266,2.15117762512547E-06,1.12895406598824E-14
1.1,0.759744464373278,0.240252294712421,3.24091428024526E-06,2.1412508305123E-14
1.2,0.715249292316679,0.284745872004584,4.8356786969647E-06,4.02214234882821E-14
1.3,0.666134669838677,0.333858192399663,7.13776158620221E-06,7.47415392609342E-14
1.4,0.613130435897368,0.386859151653786,1.04124487089381E-05,1.37262806754306E-13
1.5,0.557303274081191,0.442681725906975,1.50000115853195E-05,2.4893822838408E-13
1.6,0.499989335739265,0.499989335739265,2.13285210245584E-05,4.4561596453449E-13
1.7,0.442675117233703,0.557294954254471,2.99285110391357E-05,7.87200046313264E-13
1.8,0.386847143818842,0.613111404761508,4.14514182777919E-05,1.37258546213692E-12
1.9,0.333841647375772,0.666101658176007,5.66944458583278E-05,2.36341786911535E-12
2,0.284725427389867,0.715197937766373,7.66348397382794E-05,4.02185356096949E-12
2.1,0.240228453047237,0.759669070408088,0.000102476537903,6.77055771672402E-12
2.2,0.20073276336772,0.799131524617076,0.000135712003916,1.12880328161325E-11
2.3,0.166307889113862,0.833513908753679,0.000178202113799,1.86600520681759E-11
2.4,0.136775111441766,0.862992611062793,0.000232277464821,3.06201333214724E-11
2.5,0.111782128266317,0.887917006195066,0.000300865488686,4.99312425922784E-11
2.6,0.090873850062427,0.908738500624269,0.000387649232313,8.09914041199638E-11
2.7,0.073550963551912,0.925951770774483,0.000497265542811,1.30794164072889E-10
2.8,0.059313222442353,0.940051224718168,0.000635552629028,2.10451254811363E-10
2.9,0.047688069074597,0.951502070981757,0.000809859606041,3.37605674667806E-10
3,0.038247090442276,0.960723475266726,0.001029433750743,5.40254512222973E-10
3.1,0.030613399540037,0.968080694672693,0.001305904924467,8.62802827316213E-10
3.2,0.024462841615739,0.973883265934004,0.001653891074611,1.37564667721162E-09
3.3,0.019521384302074,0.978386859493127,0.002091754014463,2.19033534404478E-09
3.4,0.01556043415762,0.98179702150506,0.002642540853773,3.48354728739643E-09
3.5,0.012391270105435,0.984273570884224,0.003335153475364,5.53497704200877E-09
3.6,0.009859348466222,0.985934846622206,0.004205796124418,8.78715356990801E-09
3.7,0.007838918015191,0.986861309029459,0.005299759015564,1.39397865033968E-08
3.8,0.006228168630184,0.987098206347921,0.006673602923518,2.20983762039401E-08
3.9,0.004944999680447,0.986657150992892,0.008397814318744,3.50079167755336E-08
4,0.003923411983639,0.985516532692584,0.010559999904109,5.54196672991351E-08
4.1,0.003110481928742,0.983620751561926,0.01326867884404,8.76652917597395E-08
4.2,0.002463854900337,0.980878303027383,0.016657703519537,1.38552742973204E-07
4.3,0.001949688145784,0.977158808221598,0.02089128487401,2.18758607970395E-07
4.4,0.001540974500701,0.972289178873875,0.026169501644206,3.44981218871371E-07
4.5,0.00121618396022,0.966049258221271,0.032734014569089,5.43249420067305E-07
4.6,0.000958167514779,0.958167514778952,0.040873463738572,8.53967696436021E-07
4.7,0.000753275531487,0.948317708672342,0.050927676261803,1.3395343677303E-06
4.8,0.00059065047394,0.936117915271636,0.063289338547459,2.09570696511113E-06
4.9,0.000461660533176,0.921133864154701,0.07840120700584,3.26830628278548E-06
5,0.000359446648627,0.902889159538935,0.096746316493572,5.07731886475122E-06
5.1,0.000278560427127,0.880885415712142,0.118828172961199,7.85089953141775E-06
5.2,0.000214674693404,0.854635347803728,0.145137905457711,1.20720451573448E-05
5.3,0.000164351938259,0.823710932773206,0.176106274697762,1.8440590772692E-05
5.4,0.00012485889432,0.787806363948757,0.212040824732318,2.79524246052434E-05
5.5,9.40179761930847E-05,0.746811330618019,0.253052655118456,4.19962873326899E-05
5.6,7.00884480660987E-05,0.70088448066098,0.298982964495863,6.24663950912472E-05
5.7,5.16719435184067E-05,0.650511227721145,0.349345213182102,9.18871532354743E-05
5.8,3.76383116998992E-05,0.596527039888991,0.403301776029916,0.000133545769393
5.9,2.7068625555151E-05,0.540090084881957,0.459691215298979,0.000191631193508
6,1.92125403245481E-05,0.482597193560624,0.517112209553692,0.00027138434536
6.09999999999999,1.34571548922404E-05,0.425552602851567,0.574054665837024,0.000379274156517
6.19999999999999,9.30438131069773E-06,0.370414091735266,0.62905338007179,0.000523223811633
6.29999999999999,6.35389186107747E-06,0.318448948462021,0.680831779253641,0.000712918392477
6.39999999999999,4.28917678234696E-06,0.270628759259569,0.728406724490679,0.00096022707297
6.49999999999999,2.86505049919372E-06,0.227579050542043,0.771138313358784,0.001279771048674
6.59999999999999,1.89583605676843E-06,0.18958360567684,0.80872483282296,0.001689665664143
6.69999999999999,1.24416053876104E-06,0.156630531859776,0.841155758910823,0.002212465068862
6.79999999999999,8.10663297449897E-07,0.12848147415064,0.868641373265108,0.002876341920954
6.89999999999999,5.24975625672399E-07,0.104746408218133,0.89153652399525,0.003716542810992
6.99999999999999,3.38197764520348E-07,0.084951437586552,0.910271053816759,0.004777170398924
7.09999999999999,2.16909963063398E-07,0.068592953046332,0.925293476668515,0.00611335337519
7.19999999999999,1.38596833464411E-07,0.05517639321819,0.937029595485221,0.007793872699756
7.29999999999999,8.82722921655873E-08,0.044240945916408,0.945854651729968,0.009904314081332
7.39999999999999,5.60624001959302E-08,0.035372983152809,0.952076152745041,0.01255080803975
7.49999999999999,3.55159533845321E-08,0.028211324556485,0.955924246291094,0.015864393636468
7.59999999999999,2.24470902797465E-08,0.022447090279746,0.957546897002968,0.020005990270196
7.69999999999999,1.4155182600789E-08,0.01782031908472,0.957007796995775,0.025171869764322
7.79999999999999,8.9059123536413E-09,0.014114919861941,0.954285701768023,0.031599369464124
7.89999999999999,5.58974346988165E-09,0.011153004495798,0.949274636661547,0.039572353252912
7.99999999999999,3.49906364550727E-09,0.008789250494138,0.941785158303767,0.049425587703032
8.09999999999999,2.18376072779326E-09,0.006905657764653,0.931547600439809,0.061546739611776
8.19999999999999,1.35814541761151E-09,0.005406874294055,0.918218994953721,0.076374129394079
8.29999999999999,8.41231781911559E-10,0.004216146296156,0.901396094497612,0.094387758365001
8.39999999999999,5.185577988745E-10,0.003271878517373,0.880637490373098,0.11609063059097
8.49999999999999,3.17847619383246E-10,0.00252475338416,0.855497929915266,0.141977316382727
8.59999999999999,1.93534173179853E-10,0.001935341731798,0.825577144667202,0.172487513407466
8.69999999999999,1.16935835549267E-10,0.001472134949224,0.790583276280903,0.207944588652937
8.79999999999999,7.0032052869819E-11,0.001109933238474,0.750406966354265,0.248483100337228
8.89999999999998,4.15250541333899E-11,0.000828533756394,0.705196596001547,0.293974870200534
8.99999999999998,2.43511381419482E-11,0.000611672934906,0.65541935824281,0.343968968797933
9.09999999999998,1.41096651773302E-11,0.000446186789827,0.601889418179667,0.397664395016396
9.19999999999998,8.07218204751344E-12,0.000321359355513,0.545746485658821,0.453932154977594
9.29999999999998,4.55780423344924E-12,0.000228431329518,0.488377522563417,0.511394046102507
9.39999999999998,2.5396207835971E-12,0.000160239238561,0.431289487540335,0.568550273218565
9.49999999999998,1.39681093046724E-12,0.000110952636064,0.37595652338578,0.623932523976759
9.59999999999998,7.58765376987122E-13,7.5876537698709E-05,0.323673769398448,0.676250354063094
9.69999999999998,4.07416897841498E-13,5.12907485886988E-05,0.275447628517628,0.724501080733376
9.79999999999998,2.16459039410008E-13,3.43064458007579E-05,0.231940039520991,0.768025654032992
9.89999999999998,1.13922451099962E-13,2.27305173508629E-05,0.193468079453377,0.806509190029158
9.99999999999998,5.94630671554976E-14,1.49364471563831E-05,0.160046914797251,0.839938148755533
10.1,3.08166972743987E-14,9.74509533509982E-06,0.131457718943661,0.868532535960973
10.2,1.58741849235553E-14,6.31962684475929E-06,0.107322661750388,0.892671018622751
10.3,8.13553543852597E-15,4.07742650051127E-06,0.087173832808245,0.912822089765247
10.4,4.15187248387859E-15,2.61965443704829E-06,0.070508910915767,0.929488469429792
10.5,2.11148767010372E-15,1.6772142736355E-06,0.056831425521462,0.943166897264262
10.6,1.07076711649906E-15,1.07076711649901E-06,0.045676732130469,0.954322197102413
10.7,5.41744394244005E-16,6.8201578461078E-07,0.036626416196238,0.963372901787977
10.8,2.73576298782742E-16,4.33589213559454E-07,0.029314228560113,0.970685337850673
10.9,1.37944653818388E-16,2.75235769315244E-07,0.023426363273809,0.976573361490422
11,6.94708267700237E-17,1.74502827149366E-07,0.018698314810908,0.981301510686265
11.1,3.49523103763597E-17,1.10528910274428E-07,0.01490993974135,0.98508994972974
11.2,1.75715365222004E-17,6.99535468713024E-08,0.011879816694137,0.988120113352316
11.3,8.82820032838252E-18,4.42458130048917E-08,0.009459587082366,0.990540368671821
11.4,4.43320648630579E-18,2.79716419213171E-08,0.00752866477542,0.992471307252938
11.5,2.22531226661388E-18,1.76762836444959E-08,0.005989505415196,0.99401047690852
11.6,1.11667370538584E-18,1.11667370538578E-08,0.004763501319018,0.995236487514245
11.7,5.60211456669224E-19,7.05264438779072E-09,0.003787494284736,0.99621249866262
11.8,2.8098971649362E-19,4.4533868882229E-09,0.003010859057961,0.996989136488652
11.9,1.40915720795295E-19,2.81163827289512E-09,0.002393092283727,0.997606904904635
12,7.06599385754843E-20,1.77489740959048E-09,0.001901836839192,0.99809816138591
12.1,3.54277168642473E-20,1.12032277590573E-09,0.001511273841219,0.998488725038458
12.2,1.77614401400305E-20,7.0709566791024E-10,0.001200820729712,0.998799178563193
12.3,8.90400611753374E-21,4.46257419424676E-10,0.000954081444889,0.999045918108854
12.4,4.4634500471395E-21,2.81624658896295E-10,0.000758002571063,0.999241997147312
12.5,2.23737298762959E-21,1.77720853568348E-10,0.000602196726557,0.999397803095722
12.6,1.12148167929665E-21,1.12148167929658E-10,0.000478401115099,0.999521598772753
12.7,5.62127610193891E-22,7.07676733144168E-11,0.00038004490725,0.999619955021982
12.8,2.81753205006298E-22,4.46548736568552E-11,0.000301903998477,0.999698095956868
12.9,1.41219878169067E-22,2.81770701035216E-11,0.000239825761702,0.999760174210121
13,7.07810913782502E-23,1.77794063040454E-11,0.000190509770904,0.999809490211316
13.1,3.54759694177108E-23,1.12184865562436E-11,0.000151333219632,0.999848666769149
13.2,1.77806563951863E-23,7.07860680807106E-12,0.000120211990801,0.999879788002121
13.3,8.91165832453665E-24,4.46640938270565E-12,9.54901393642107E-05,0.999904509856169
13.4,4.46649710304388E-24,2.81816915126484E-12,7.58520035398193E-05,0.999924147993642
13.5,2.23858625040441E-24,1.77817226456165E-12,6.02523280455483E-05,0.999939747670176
13.6,1.12196475369159E-24,1.12196475369151E-12,4.78607184742034E-05,0.999952139280404
13.7,5.62319946381982E-25,7.07918870058957E-13,3.80174942472133E-05,0.999961982505045
13.8,2.81829782003033E-25,4.46670102929373E-13,3.0198605220711E-05,0.999969801394333
