pH,V_b
0,-45.4545296566306
0.1,-44.4091870490042
0.2,-43.1596178911312
0.3,-41.6830657858198
0.4,-39.9619119232473
0.5,-37.9872143107682
0.6,-35.7624405691205
0.7,-33.3066804740717
0.8,-30.6564168671169
0.9,-27.8649706923929
1,-24.9991312505445
1.1,-22.1331993135487
1.2,-19.3414707382677
1.3,-16.6907198205373
1.4,-14.2342416182683
1.5,-12.0084808407499
1.6,-10.032474878496
1.7,-8.30962196255756
1.8,-6.83089007216544
1.9,-5.57854503390997
2,-4.52968376216845
2.1,-3.65915435350328
2.2,-2.94171068765248
2.3,-2.35343131988068
2.4,-1.8725273305237
2.5,-1.47969308204685
2.6,-1.15814419144854
2.7,-0.893459953954757
2.8,-0.673316648619756
2.9,-0.487170676234393
3,-0.325928989667976
3.1,-0.181629047776824
3.2,-0.047140801932657
3.3,0.084101990224937
3.4,0.218335418012458
3.5,0.361656966445452
3.6,0.520164114893822
3.7,0.700023609224883
3.8,0.907448871741372
3.9,1.1485583086788
4,1.42908750539796
4.1,1.75393837777847
4.2,2.12657359928185
4.3,2.54830797431153
4.4,3.01760573986759
4.5,3.5295481354587
4.6,4.07566106020045
4.7,4.64425786375723
4.8,5.22134422814417
4.9,5.79197425333404
5,6.34179973396776
5.1,6.8584868624892
5.2,7.33272048269369
5.3,7.75865211594771
5.4,8.13380921668105
5.5,8.45860422956232
5.6,8.73563117540844
5.7,8.96892163454887
5.8,9.16327982885127
5.9,9.32375758042839
6,9.45528278836163
6.09999999999999,9.5624258999421
6.19999999999999,9.649275743967
6.29999999999999,9.71939393809023
6.39999999999999,9.77582081860668
6.49999999999999,9.82111179240849
6.59999999999999,9.85738902452768
6.69999999999999,9.88639845600821
6.79999999999999,9.90956601273494
6.89999999999999,9.92804959450031
6.99999999999999,9.9427852428291
7.09999999999999,9.95452701470831
7.19999999999999,9.96388074499369
7.29999999999999,9.97133222382546
7.39999999999999,9.97727046297713
7.49999999999999,9.98200675616352
7.59999999999999,9.98579020508079
7.69999999999999,9.98882031819995
7.79999999999999,9.9912572129352
7.89999999999999,9.99322987513837
7.99999999999999,9.99484285897778
8.09999999999999,9.99618174795744
8.19999999999999,9.99731764505877
8.29999999999999,9.99831091666942
8.39999999999999,9.99921438054778
8.49999999999999,10.0000761018459
8.59999999999999,10.0009419424959
8.69999999999999,10.0018579975168
8.79999999999999,10.0028730466919
8.89999999999998,10.0040411515192
8.99999999999998,10.0054245355732
9.09999999999998,10.0070969019669
9.19999999999998,10.0091473654097
9.29999999999998,10.0116852097919
9.39999999999998,10.0148457272264
9.49999999999998,10.0187974536671
9.59999999999998,10.0237511930928
9.69999999999998,10.0299713214419
9.79999999999998,10.0377899891343
9.89999999999998,10.0476250053032
9.99999999999998,10.0600023986761
10.1,10.0755849241597
10.2,10.0952081406905
10.3,10.1199261526679
10.4,10.1510697233081
10.5,10.1903202891996
10.6,10.2398045117804
10.7,10.3022155121866
10.8,10.3809690290875
10.9,10.4804056868783
11,10.6060547874175
11.1,10.7649812142718
11.2,10.9662462519198
11.3,11.2215271732369
11.4,11.5459623849727
11.5,11.959324040876
11.6,12.4876778138851
11.7,13.1657874792472
11.8,14.0406936898988
11.9,15.1772090126724
12,16.6666660265478
12.1,18.6414455532995
12.2,21.3003423589572
12.3,24.9556101300114
12.4,30.1269895572494
