pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
0,1,1E-14,1.0120226466904,0.988120180185967,0.011879817497653,2.31637979939106E-09,6.99535516027551E-21,-4.5443745616245,-45.443745616245
0.1,0.794328234724282,1.25892541179417E-14,0.508773011239651,0.985090055005284,0.014909941334759,3.65995659267735E-09,1.39147668752946E-20,-4.43925398372323,-44.3925398372323
0.2,0.630957344480193,1.58489319246111E-14,0.255974945553293,0.981301676255896,0.018698317965771,5.77833266053089E-09,2.76568389478082E-20,-4.31340749669989,-43.1340749669989
0.3,0.501187233627272,1.99526231496888E-14,0.128912494074716,0.976573621378008,0.023426369508077,9.11391532195919E-09,5.49167704391648E-20,-4.16441565842522,-41.6441565842522
0.4,0.398107170553497,2.51188643150958E-14,0.065001196099237,0.970685744792934,0.029314240849571,1.43574942739853E-08,1.08912731898552E-19,-3.99031482241538,-39.9031482241538
0.5,0.316227766016838,3.16227766016838E-14,0.032825041777612,0.963373537067433,0.036626440348887,2.25836800551015E-08,2.15672470177021E-19,-3.78993500752834,-37.8993500752834
0.6,0.251188643150958,3.98107170553497E-14,0.016607510088484,0.954323185123407,0.045676779420125,3.54564683217568E-08,4.26280508403873E-19,-3.56325739777275,-35.6325739777275
0.7,0.199526231496888,5.01187233627272E-14,0.008421912907301,0.94316842677833,0.056831517683795,5.55378744040132E-08,8.40599745184317E-19,-3.31172328263579,-33.1172328263579
0.8,0.158489319246111,6.30957344480193E-14,0.00428306724911,0.92949082374596,0.070509089508909,8.67451308812255E-08,1.65289439368756E-18,-3.03840666307272,-30.3840666307272
0.9,0.125892541179417,7.94328234724281E-14,0.002185808681886,0.912825688498581,0.087174176484606,1.35016813279367E-07,3.23882776315654E-18,-2.74796705550384,-27.4796705550384
1,0.1,1E-13,0.001120226677885,0.892676473201252,0.107323317534957,2.09263791123654E-07,6.31966546021727E-18,-2.44633813196745,-24.4633813196745
1.1,0.079432823472428,1.25892541179417E-13,0.000577045177339,0.868540719703338,0.131458957603187,3.22693475275203E-07,1.22684637561463E-17,-2.14017786507035,-21.4017786507035
1.2,0.063095734448019,1.58489319246111E-13,0.000299051800294,0.83995027919565,0.160049226204957,4.94599392718514E-07,2.36730152999583E-17,-1.83618321909373,-18.3618321909373
1.3,0.050118723362727,1.99526231496888E-13,0.000156092175873,0.806526915748105,0.193472331557182,7.52694712830452E-07,4.53543414603476E-17,-1.54042232666429,-15.4042232666429
1.4,0.03981071705535,2.51188643150958E-13,8.21504349530818E-05,0.768051130636799,0.231947733332331,1.13603086986697E-06,8.61767542421978E-17,-1.2578333652833,-12.578333652833
1.5,0.031622776601684,3.16227766016838E-13,4.3645495078882E-05,0.724537012228429,0.275461289291029,1.69848054183169E-06,1.62203632495094E-16,-0.991981917970494,-9.91981917970494
1.6,0.025118864315096,3.98107170553498E-13,2.34347665592685E-05,0.676299970154507,0.323697517152849,2.51269264349766E-06,3.02092100040205E-16,-0.745084027338983,-7.45084027338983
1.7,0.019952623149689,5.01187233627273E-13,1.27296300439833E-05,0.623999465797296,0.375996859821439,3.67438126380015E-06,5.56140109286799E-16,-0.518227057112607,-5.18227057112607
1.8,0.015848931924611,6.30957344480194E-13,7.00106057945989E-06,0.568638374193598,0.431356318964318,5.30684208314386E-06,1.01119791258649E-15,-0.311681478243978,-3.11681478243978
