mL,E
0.0001,0.188848985929256
0.001,0.248009448405851
0.01,0.307174073629717
0.1,0.36638037172092
0.5,0.407938221887609
1,0.426007999905513
2,0.444346702940341
3,0.455305184153738
4,0.46324911576468
5,0.46954701314157
6,0.474808767631774
7,0.479360006215155
8,0.483395375610504
9,0.487040693894891
10,0.490382130913038
11,0.493481409102273
12,0.496384364940327
13,0.499126074726669
14,0.501734078645332
15,0.504230493381972
16,0.506633445441705
17,0.508958073505563
18,0.511217248684506
19,0.513422105225134
20,0.515582441114266
21,0.517707027920756
22,0.519803856663236
23,0.521880338491155
24,0.523943473793705
25,0.526
26,0.528056526206295
27,0.530119661508845
28,0.532196143336764
29,0.534292972079244
30,0.536417558885734
31,0.538577894774866
32,0.540782751315494
33,0.543041926494437
34,0.545366554558295
35,0.547769506618028
36,0.550265921354668
37,0.552873925273331
38,0.555615635059673
39,0.558518590897727
40,0.561617869086962
41,0.564959306105109
42,0.568604624389496
43,0.572639993784845
44,0.577191232368227
45,0.582452986858431
46,0.58875088423532
47,0.596694815846262
48,0.607653297059659
49,0.625992000094487
49.1,0.628751394215565
49.2,0.631829851849274
49.3,0.635312823697198
49.4,0.639325458325627
49.5,0.644061778112392
49.6,0.649846826894198
49.7,0.65728995052825
49.8,0.667759153374185
49.9,0.685619628279083
49.95,0.703454294283455
49.99,0.744825926370302
49.999,0.803990551594079
49.9999,0.863151014070897
49.99999,0.922311060309185
49.999999,0.981471065045325
50,0.99
50.000001,1.00352893466367
50.00001,1.06268893457453
50.0001,1.12184893454556
50.001,1.18100893454333
50.01,1.24016893454348
50.05,1.28152
50.1,1.29932893454349
50.2,1.31713786908697
50.3,1.3275554279727
50.4,1.33494680363045
50.5,1.34068
50.6,1.34536436251618
50.7,1.34932493459073
50.8,1.35275573817393
50.9,1.35578192140191
51,1.35848893454348
52,1.37629786908696
53,1.3867154279727
54,1.39410680363044
55,1.39984
56,1.40452436251618
57,1.40848493459072
58,1.41191573817392
59,1.41494192140191
60,1.41764893454348
61,1.42009772579744
62,1.42233329705966
63,1.42438982326595
64,1.42629386913421
65,1.42806649342922
66,1.42972467271741
67,1.43128229273222
68,1.43275085594539
69,1.43413999757585
70,1.43545786908696
71,1.43671142801994
72,1.43790666034092
73,1.43904875332228
74,1.44014223160314
75,1.44119106545652
